Date,Ticker,Open,High,Low,Close,Volume
2026-07-06,MU,1007,1019,980.85,984.75,37115846
2026-07-06,SNDK,1828.68,1837.77,1713.2,1744.43,9164241
2026-07-06,MSFT,387.04,389.15,381.22,386.74,34224543
2026-07-07,MU,923.01,942.02,891.66,938.38,52367526
2026-07-07,SNDK,1619.28,1638.88,1485.02,1617.7,14530822
2026-07-07,MSFT,392.49,395.57,388.22,388.84,29297524
2026-07-08,MU,902.64,959,900.41,948.8,42979000
2026-07-08,SNDK,1591.8,1734.69,1590,1727.18,12048630
2026-07-08,MSFT,384.03,385.31,381.33,383.34,25908300
2026-07-09,MU,1016.51,1035.5,987.13,991.64,41110745
2026-07-09,SNDK,1835.61,1952.59,1801,1858.27,13359300
2026-07-09,MSFT,374.45,384.65,373.35,384.36,31083200
2026-07-10,MU,964.98,998,954.13,979.3,31768093
2026-07-10,SNDK,1778.98,1946.84,1773,1915.92,11022652
2026-07-10,MSFT,387.8,391.91,381.5,385.1,24644605
